Date,Weight in lbs,Time of day,,,
"September 14, 2022",183,AM ,,,
"September 15, 2022",183,AM ,,AVG,178.7461078
"September 16, 2022",184.4,AM,,MAX,184.4
"September 17, 2022",182.6,PM,,MIN,172.4
"September 18, 2022",183.4,AM,,Max weight differential,12
"September 19, 2022",181.4,AM,,MEDIAN,179.4
"September 19, 2022",182,PM,,,
"September 20, 2022",181.6,AM,,,
"September 21, 2022",181.4,AM,,,
"September 27, 2022",183,PM,,,
"September 28, 2022",182,AM,,,
"September 29, 2022",181.2,AM,,,
"September 30, 2022",180.6,AM,,,
"October 1, 2022",180.4,AM,,,
"October 2, 2022",182.4,AM,,,
"October 3, 2022",181.8,AM,,,
"October 4, 2022",180.8,AM,,,
"October 5, 2022",181.4,AM,,,
"October 8, 2022",183.4,PM,,,
"October 9, 2022",183.2,AM,,,
"October 10, 2022",181.2,AM,,,
"October 11, 2022",181.2,AM,,,
"October 12, 2022",181.8,AM,,,
"October 13, 2022",183,AM,,,
"October 14, 2022",182.4,AM,,,
"October 15, 2022",179.6,PM,,,
"October 16, 2022",180.6,AM,,,
"October 17, 2022",180.6,AM,,,
"October 18, 2022",181.6,AM,,,
"October 20, 2022",181.2,AM,,,
"October 21, 2022",181,AM,,,
"October 22, 2022",179.6,PM,,,
"October 23, 2022",179.8,AM,,,
"October 24, 2022",181.4,AM,,,
"October 25, 2022",181.6,AM,,,
"October 26, 2022",182.8,AM,,,
"October 27, 2022",179,AM,,,
"October 29, 2022",179.4,PM,,,
"October 31, 2022",178.8,AM,,,
"November 1, 2022",180.8,AM,,,
"November 2, 2022",182.6,AM,,,
"November 3, 2022",181,AM,,,
"November 4, 2022",180.4,AM,,,
"November 5, 2022",180.2,AM,,,
"November 6, 2022",180.2,AM,,,
"November 7, 2022",178.8,AM,,,
"November 8, 2022",179,AM,,,
"November 9, 2022",179.8,AM,,,
"November 10, 2022",181.8,AM,,,
"November 11, 2022",179.4,AM,,,
"November 12, 2022",179,AM,,,
"November 14, 2022",179.6,AM,,,
"November 15, 2022",178.6,AM,,,
"November 16, 2022",180.4,AM,,,
"November 17, 2022",179.4,AM,,,
"November 18, 2022",178.8,AM,,,
"November 21, 2022",179.8,PM,,,
"November 22, 2022",178.6,PM,,,
"November 23, 2022",178.8,AM,,,
"November 24, 2022",178.6,AM,,,
"November 26, 2022",178,AM,,,
"November 28, 2022",179,AM,,,
"November 30, 2022",180.4,AM,,,
"December 1, 2022",181.6,AM,,,
"December 2, 2022",180.8,AM,,,
"December 4, 2022",179.6,AM,,,
"December 5, 2022",181.2,AM,,,
"December 6, 2022",180.4,AM,,,
"December 7, 2022",181.6,AM,,,
"December 8, 2022",179.8,AM,,,
"December 9, 2022",181.4,AM,,,
"December 12, 2022",180.6,AM,,,
"December 13, 2022",179.6,AM,,,
"December 14, 2022",181.2,AM,,,
"December 15, 2022",181,AM,,,
"December 16, 2022",179.4,AM,,,
"December 18, 2022",179.8,AM,,,
"December 19, 2022",179,AM,,,
"December 21, 2022",179.6,AM,,,
"December 22, 2022",179.6,AM,,,
"December 23, 2022",180.6,AM,,,
"December 25, 2022",180.4,AM,,,
"December 26, 2022",179.2,AM,,,
"December 29, 2022",179.8,AM,,,
"December 31, 2022",179.2,AM,,,
"January 3, 2023",181.4,AM,,,
"January 4, 2023",181,AM,,,
"January 5, 2023",179.8,AM,,,
"January 6, 2023",179.4,AM,,,
"January 8, 2023",179.4,AM,,,
"January 9, 2023",179.8,AM,,,
"January 10, 2023",178.4,PM,,,
"January 11, 2023",179.8,AM,,,
"January 13, 2023",181,AM,,,
"January 17, 2023",179.8,AM,,,
"January 18, 2023",180.6,AM,,,
"January 20, 2023",176.4,AM,,,
"January 22, 2023",178.8,AM,,,
"January 23, 2023",179.4,AM,,,
"January 24, 2023",179.2,AM,,,
"January 25, 2023",179.6,AM,,,
"January 27, 2023",179.4,AM,,,
"January 28, 2023",177,AM,,,
"January 30, 2023",178.6,AM,,,
"January 31, 2023",176.6,AM,,,
"February 1, 2023",176.4,AM,,,
"February 2, 2023",177.2,AM,,,
"February 3, 2023",177.2,AM,,,
"February 4, 2023",176.2,PM,,,
"February 6, 2023",178.4,AM,,,
"February 8, 2023",179.6,AM,,,
"February 10, 2023",177.2,AM,,,
"February 13, 2023",178.2,AM,,,
"February 15, 2023",178.6,AM,,,
"February 16, 2023",178.8,AM,,,
"February 17, 2023",176.6,AM,,,
"February 18, 2023",177.2,AM,,,
"February 19, 2023",177.6,AM,,,
"February 20, 2023",178.8,AM,,,
"February 22, 2023",177.6,AM,,,
"February 23, 2023",178,AM,,,
"February 24, 2023",178.4,AM,,,
"February 27, 2023",179,AM,,,
"March 1, 2023",178.8,AM,,,
"March 3, 2023",178.2,AM,,,
"March 4, 2023",175,AM,,,
"March 6, 2023",176.4,AM,,,
"March 7, 2023",175.4,AM,,,
"March 9, 2023",176.6,AM,,,
"March 10, 2023",176.2,AM,,,
"March 11, 2023",173.6,AM,,,
"March 13, 2023",174.8,AM,,,
"March 14, 2023",174.6,AM,,,
"March 15, 2023",174.8,AM,,,
"March 16, 2023",174.8,AM,,,
"March 18, 2023",176.4,PM,,,
"March 20, 2023",174.8,AM,,,
"March 21, 2023",173.8,AM,,,
"March 22, 2023",174.2,AM,,,
"March 23, 2023",176.2,AM,,,
"March 26, 2023",176,AM,,,
"March 27, 2023",176.2,AM,,,
"March 28, 2023",176.2,AM,,,
"March 29, 2023",174.8,AM,,,
"March 30, 2023",175.4,AM,,,
"March 31, 2023",174.8,AM,,,
"April 3, 2023",175.4,AM,,,
"April 5, 2023",176.2,AM,,,
"April 6, 2023",176.4,AM,,,
"April 7, 2023",174.2,PM,,,
"April 8, 2023",173.2,AM,,,
"April 10, 2023",172.4,AM,,,
"April 12, 2023",173.2,AM,,,
"April 13, 2023",174.2,PM,,,
"April 17, 2023",175.2,AM,,,
"April 18, 2023",175,AM,,,
"April 19, 2023",173.8,AM,,,
"April 19, 2023",174.2,AM,,,
"April 24, 2023",175.2,AM,,,
"April 26, 2023",175.4,AM,,,
"May 1, 2023",174.4,AM,,,
"May 3, 2023",175.4,AM,,,
5/5/2023,176.6,AM,,,
"May 8, 2023",176.2,AM,,,
"May 9, 2023",174.8,AM,,,
"May 10, 2023",172.8,AM,,,
"May 11, 2023",174,AM,,,